,KA,rob_gamma,beta_A
12,37.27593720314938,0.27946966330957906,0.2682695795279726
13,61.054022965853264,0.21239033348345046,0.2682695795279726
14,100.0,0.8974234338597145,0.2682695795279726
0,0.1,0.2936076714582466,0.43939705607607904
1,0.16378937069540642,0.2936076714582382,0.43939705607607904
2,0.2682695795279726,0.2936076714581841,0.43939705607607904
3,0.43939705607607904,0.293607671458399,0.43939705607607904
4,0.7196856730011519,0.29360767145848304,0.43939705607607904
5,1.1787686347935873,0.29360767145820876,0.43939705607607904
6,1.9306977288832496,0.29360766953214623,0.43939705607607904
7,3.1622776601683795,0.2936076711918353,0.43939705607607904
8,5.17947467923121,0.2936076497272702,0.43939705607607904
9,8.483428982440717,0.29360506742768655,0.43939705607607904
10,13.894954943731374,0.2932958900957339,0.43939705607607904
11,22.758459260747887,0.25957458618047496,0.43939705607607904
12,37.27593720314938,0.2991156505617431,0.43939705607607904
13,61.054022965853264,0.2585958418470639,0.43939705607607904
14,100.0,0.8444991064465417,0.43939705607607904
0,0.1,0.284776657965105,0.7196856730011519
1,0.16378937069540642,0.2847766579548682,0.7196856730011519
2,0.2682695795279726,0.28477665795538953,0.7196856730011519
3,0.43939705607607904,0.28477665795566404,0.7196856730011519
4,0.7196856730011519,0.2847766579580509,0.7196856730011519
5,1.1787686347935873,0.2847766579557168,0.7196856730011519
6,1.9306977288832496,0.2847766579540582,0.7196856730011519
7,3.1622776601683795,0.2847766601201538,0.7196856730011519
8,5.17947467923121,0.2847766339342095,0.7196856730011519
9,8.483428982440717,0.2847737912745872,0.7196856730011519
10,13.894954943731374,0.2844334506668892,0.7196856730011519
11,22.758459260747887,0.24755552840287318,0.7196856730011519
12,37.27593720314938,0.32251744893047307,0.7196856730011519
13,61.054022965853264,0.3006917460401425,0.7196856730011519
14,100.0,0.7729599016434435,0.7196856730011519
0,0.1,0.2713282996142452,1.1787686347935873
1,0.16378937069540642,0.2713282996137969,1.1787686347935873
2,0.2682695795279726,0.27132829951363646,1.1787686347935873
3,0.43939705607607904,0.27132830010984693,1.1787686347935873
4,0.7196856730011519,0.2713282996082037,1.1787686347935873
5,1.1787686347935873,0.2713282996130942,1.1787686347935873
6,1.9306977288832496,0.2713282995477525,1.1787686347935873
7,3.1622776601683795,0.271328299317876,1.1787686347935873
8,5.17947467923121,0.2713282717567531,1.1787686347935873
9,8.483428982440717,0.2713249627713447,1.1787686347935873
10,13.894954943731374,0.27092884201619305,1.1787686347935873
11,22.758459260747887,0.22844082283770534,1.1787686347935873
12,37.27593720314938,0.35782692401572846,1.1787686347935873
13,61.054022965853264,0.3448764938868044,1.1787686347935873
14,100.0,0.6831985047617898,1.1787686347935873
0,0.1,0.2452971897261417,1.9306977288832496
1,0.16378937069540642,0.24529719360628655,1.9306977288832496
2,0.2682695795279726,0.24529719120525895,1.9306977288832496
3,0.43939705607607904,0.24529718967647707,1.9306977288832496
4,0.7196856730011519,0.24529718965808944,1.9306977288832496
5,1.1787686347935873,0.24529718968000805,1.9306977288832496
6,1.9306977288832496,0.24529718967299982,1.9306977288832496
7,3.1622776601683795,0.24529719101913564,1.9306977288832496
8,5.17947467923121,0.24529715438289415,1.9306977288832496
9,8.483428982440717,0.2452929422253046,1.9306977288832496
10,13.894954943731374,0.24478878275345353,1.9306977288832496
11,22.758459260747887,0.19153675110746174,1.9306977288832496
12,37.27593720314938,0.42517439730606454,1.9306977288832496
13,61.054022965853264,0.39469254271546106,1.9306977288832496
14,100.0,0.5793629046268489,1.9306977288832496
0,0.1,0.1873350241277007,3.1622776601683795
1,0.16378937069540642,0.18733502412193828,3.1622776601683795
2,0.2682695795279726,0.18733502412220657,3.1622776601683795
3,0.43939705607607904,0.1873350212878821,3.1622776601683795
4,0.7196856730011519,0.18733502412177497,3.1622776601683795
5,1.1787686347935873,0.18733502411681496,3.1622776601683795
6,1.9306977288832496,0.18733502633861285,3.1622776601683795
7,3.1622776601683795,0.18733502369378072,3.1622776601683795
8,5.17947467923121,0.18733497209106606,3.1622776601683795
9,8.483428982440717,0.1873288633388926,3.1622776601683795
10,13.894954943731374,0.18659772206715972,3.1622776601683795
11,22.758459260747887,0.11425668781203244,3.1622776601683795
12,37.27593720314938,0.5581037329340279,3.1622776601683795
13,61.054022965853264,0.43973378172376487,3.1622776601683795
14,100.0,0.489329128598126,3.1622776601683795
0,0.1,0.09344516836587752,5.17947467923121
1,0.16378937069540642,0.09344516815698639,5.17947467923121
2,0.2682695795279726,0.09344516836263422,5.17947467923121
3,0.43939705607607904,0.09344516845141355,5.17947467923121
4,0.7196856730011519,0.0934451683596258,5.17947467923121
5,1.1787686347935873,0.09344516695032222,5.17947467923121
6,1.9306977288832496,0.09344516837116316,5.17947467923121
7,3.1622776601683795,0.09344516767941509,5.17947467923121
8,5.17947467923121,0.09344508755759381,5.17947467923121
9,8.483428982440717,0.09343548338709645,5.17947467923121
10,13.894954943731374,0.09228588518052569,5.17947467923121
11,22.758459260747887,0.05232786195866281,5.17947467923121
12,37.27593720314938,0.8038021220490053,5.17947467923121
13,61.054022965853264,0.5029806714082828,5.17947467923121
14,100.0,0.4144243457372795,5.17947467923121
0,0.1,0.03374124882984037,8.483428982440717
1,0.16378937069540642,0.03374124882977093,8.483428982440717
2,0.2682695795279726,0.033741248828575494,8.483428982440717
3,0.43939705607607904,0.03374124886883357,8.483428982440717
4,0.7196856730011519,0.033741248828676414,8.483428982440717
5,1.1787686347935873,0.03374124883109821,8.483428982440717
6,1.9306977288832496,0.03374124882206386,8.483428982440717
7,3.1622776601683795,0.03374124795495296,8.483428982440717
8,5.17947467923121,0.033741142941316735,8.483428982440717
9,8.483428982440717,0.03372855714242372,8.483428982440717
10,13.894954943731374,0.03222128619073754,8.483428982440717
11,22.758459260747887,0.1363775066798585,8.483428982440717
12,37.27593720314938,1.1503241564454483,8.483428982440717
13,61.054022965853264,0.5584590591583276,8.483428982440717
14,100.0,0.3498841300029318,8.483428982440717
0,0.1,0.015279534507527972,13.894954943731374
1,0.16378937069540642,0.01527953458942339,13.894954943731374
2,0.2682695795279726,0.015279534152213517,13.894954943731374
3,0.43939705607607904,0.015279534517478276,13.894954943731374
4,0.7196856730011519,0.015279534513067902,13.894954943731374
5,1.1787686347935873,0.015279534527263256,13.894954943731374
6,1.9306977288832496,0.015279534528719092,13.894954943731374
7,3.1622776601683795,0.015279533562199448,13.894954943731374
8,5.17947467923121,0.015279420274589837,13.894954943731374
9,8.483428982440717,0.015265844617282285,13.894954943731374
10,13.894954943731374,0.013639694989419195,13.894954943731374
11,22.758459260747887,0.17217792474496546,13.894954943731374
12,37.27593720314938,1.5512247353497997,13.894954943731374
13,61.054022965853264,0.6086778238580156,13.894954943731374
14,100.0,0.29182003947153096,13.894954943731374
0,0.1,0.009909521053409373,22.758459260747887
1,0.16378937069540642,0.00990952108593758,22.758459260747887
2,0.2682695795279726,0.009909520537535146,22.758459260747887
3,0.43939705607607904,0.009909521055153364,22.758459260747887
4,0.7196856730011519,0.009909521055333218,22.758459260747887
5,1.1787686347935873,0.009909522334781875,22.758459260747887
6,1.9306977288832496,0.009909525233085683,22.758459260747887
7,3.1622776601683795,0.009909524949124315,22.758459260747887
8,5.17947467923121,0.009909405961749851,22.758459260747887
9,8.483428982440717,0.009895574175756747,22.758459260747887
10,13.894954943731374,0.008238822860234888,22.758459260747887
11,22.758459260747887,0.18224985315671796,22.758459260747887
12,37.27593720314938,2.005248680428752,22.758459260747887
13,61.054022965853264,0.6619882137250693,22.758459260747887
14,100.0,0.23689294008198108,22.758459260747887
0,0.1,0.008090118994417857,37.27593720314938
1,0.16378937069540642,0.00809011899454193,37.27593720314938
2,0.2682695795279726,0.0080901183077912,37.27593720314938
3,0.43939705607607904,0.008090118995376174,37.27593720314938
4,0.7196856730011519,0.008090118994525974,37.27593720314938
5,1.1787686347935873,0.008090119098183034,37.27593720314938
6,1.9306977288832496,0.00809011895725261,37.27593720314938
7,3.1622776601683795,0.008090118008657528,37.27593720314938
8,5.17947467923121,0.008090001961286501,37.27593720314938
9,8.483428982440717,0.008076094755115506,37.27593720314938
10,13.894954943731374,0.006410134714648018,37.27593720314938
11,22.758459260747887,0.18542866875432948,37.27593720314938
12,37.27593720314938,2.5247405016447453,37.27593720314938
13,61.054022965853264,0.7338748620945255,37.27593720314938
14,100.0,0.23463904930000623,37.27593720314938
0,0.1,0.007402114207628792,61.054022965853264
1,0.16378937069540642,0.007402114202597183,61.054022965853264
2,0.2682695795279726,0.007402114206680775,61.054022965853264
3,0.43939705607607904,0.007402117536215355,61.054022965853264
4,0.7196856730011519,0.0074021142301014,61.054022965853264
5,1.1787686347935873,0.0074021142075983235,61.054022965853264
6,1.9306977288832496,0.007402114190591255,61.054022965853264
7,3.1622776601683795,0.007402113195432864,61.054022965853264
8,5.17947467923121,0.007402014078480667,61.054022965853264
9,8.483428982440717,0.007388062612599409,61.054022965853264
10,13.894954943731374,0.005718853260846418,61.054022965853264
11,22.758459260747887,0.18658322514162803,61.054022965853264
12,37.27593720314938,3.1050966345204216,61.054022965853264
13,61.054022965853264,0.852086402167963,61.054022965853264
14,100.0,0.27934915738219984,61.054022965853264
0,0.1,0.007126838894101092,100.0
1,0.16378937069540642,0.007126838998051121,100.0
2,0.2682695795279726,0.007126838988463241,100.0
3,0.43939705607607904,0.0071268390553421825,100.0
4,0.7196856730011519,0.007126839591658176,100.0
5,1.1787686347935873,0.00712683899827882,100.0
